# jd flux flux_err
2.457368844328099862e+06 3.199287025937929866e+04 1.559998108844991407e+02
2.457368844345063902e+06 2.863858595896291445e+04 1.491164000264676588e+02
2.457368844362028409e+06 2.878809764551853732e+04 1.492987405807581922e+02
2.457368844378992449e+06 3.165055564796532417e+04 1.552322285771261363e+02
2.457368844395956490e+06 3.289358845402644511e+04 1.576627610264402790e+02
2.457368844412920997e+06 3.080594078382552834e+04 1.535731794747039203e+02
2.457368844429885037e+06 3.077605752060440864e+04 1.537448917203660983e+02
2.457368844446849078e+06 3.046810914963942923e+04 1.531693301629430550e+02
2.457368844463813584e+06 3.149124012169472553e+04 1.551929983251667124e+02
2.457368844480777625e+06 3.294357371973729460e+04 1.580690726394839487e+02
2.457368844497741666e+06 3.139389773458963464e+04 1.550382775399224329e+02
2.457368844514706172e+06 2.938678555331382449e+04 1.509973955468389306e+02
2.457368844531670213e+06 3.067176640303056774e+04 1.536502079321092253e+02
2.457368844548634253e+06 3.456883087493562198e+04 1.612012415444785915e+02
2.457368844565598760e+06 3.402853244387449377e+04 1.603474398167599304e+02
2.457368844582562800e+06 3.320066909018716251e+04 1.589026674728370381e+02
2.457368844599526841e+06 3.123407979910715221e+04 1.548034864766587191e+02
2.457368844616491348e+06 3.254797492058722855e+04 1.573509068997899476e+02
2.457368844633455388e+06 3.281368721561635903e+04 1.578306572687357914e+02
2.457368844650419429e+06 2.956259258563708863e+04 1.512872798546618469e+02
2.457368844667383935e+06 3.199602516794724215e+04 1.562793681323231283e+02
2.457368844684347976e+06 3.206056722720645485e+04 1.564242079941455188e+02
2.457368844701312482e+06 3.276390275691100760e+04 1.578425903860479309e+02
2.457368844718276523e+06 3.292847910853788926e+04 1.581592670292183698e+02
2.457368844735240564e+06 3.440066810289327987e+04 1.610281786328920646e+02
2.457368844752205070e+06 3.250342399982824645e+04 1.572327195719757356e+02
2.457368844769169111e+06 3.181802168022413753e+04 1.558505779567296656e+02
2.457368844786133152e+06 2.981014133864177711e+04 1.519018506248867766e+02
2.457368844803097658e+06 3.345367280327102344e+04 1.591237962005356508e+02
2.457368844820061699e+06 3.441422002167747996e+04 1.610167813752730694e+02
2.457368844837025739e+06 3.139754957932699472e+04 1.549867707075512726e+02
2.457368844853990246e+06 3.052707216904184315e+04 1.531903710435619814e+02
2.457368844870954286e+06 3.020211554022144992e+04 1.525292779731201733e+02
2.457368844887918327e+06 3.303757039835172327e+04 1.582933957856403993e+02
2.457368844904882833e+06 3.347419112723208673e+04 1.592252998436523512e+02
2.457368844921846874e+06 2.945652710229230433e+04 1.510281569493429004e+02
2.457368844938810915e+06 2.651310694432526361e+04 1.448332704613825115e+02
2.457368844955775421e+06 2.915773795394043555e+04 1.504163567719247396e+02
2.457368844972739462e+06 2.993371469887541025e+04 1.520879334777505960e+02
2.457368844989703503e+06 3.053877518404454167e+04 1.532081416982574069e+02
2.457368845006668009e+06 2.970221897536041433e+04 1.515399940447047129e+02
2.457368845023632050e+06 2.847268981799456742e+04 1.489997620212794516e+02
